id,review,aspect
1,The customer service is an excellent value for the price. I would buy it again.,customer service
2,I am very satisfied with the customer service. The customer service is exactly what I was looking for.,customer service
3,I am extremely happy with the price. It has been a great investment.,price
4,I am very impressed with the customer service. It is a great product at a great price.,customer service
5,The shipping is overpriced for the quality. I would not buy it again.,shipping
6,I am very disappointed with the product. The product did not meet my expectations.,product
7,I would give the product one star. It was a terrible product.,product
8,I am very impressed with the shipping. It is a great product at a great price.,shipping
9,The customer service is not what I was looking for. I am very disappointed with my purchase.,customer service
10,The customer service is overpriced for the quality. I would not buy it again.,customer service
11,The shipping is very easy to use and has made my life much easier.,shipping
12,I had a terrible experience with the shipping. The shipping did not work as advertised.,shipping
13,The customer service is of poor quality. I would not recommend it.,customer service
14,I am extremely unhappy with the price. It was a waste of money.,price
15,I am extremely happy with the shipping. It has been a great investment.,shipping
16,I would give the shipping one star. It was a terrible product.,shipping
17,The product is of poor quality. I would not recommend it.,product
18,I am extremely happy with the product. It has been a great investment.,product
19,I would give the customer service one star. It was a terrible product.,customer service
20,I am impressed with the shipping. It has exceeded my expectations.,shipping
21,The customer service is of very high quality. I would definitely recommend it.,customer service
22,I had a terrible experience with the price. The price did not work as advertised.,price
23,The customer service is an excellent value for the price. I would buy it again.,customer service
24,The shipping is overpriced for the quality. I would not buy it again.,shipping
25,The customer service is overpriced for the quality. I would not buy it again.,customer service
26,The customer service did not live up to my expectations. I would not recommend it to anyone.,customer service
27,I am very impressed with the product. It is a great product at a great price.,product
28,I am very disappointed with the customer service. The customer service did not meet my expectations.,customer service
29,The product has exceeded my expectations. I would recommend it to anyone.,product
30,The product did not live up to my expectations. I would not recommend it to anyone.,product
31,I am impressed with the customer service. It has exceeded my expectations.,customer service
32,The product is of poor quality. I would not recommend it.,product
33,The product is overpriced for the quality. I would not buy it again.,product
34,The customer service is an excellent value for the price. I would buy it again.,customer service
35,The product is very easy to use and has made my life much easier.,product
36,The shipping is of very high quality. I would definitely recommend it.,shipping
37,The shipping is everything I wanted and more. I am very satisfied with my purchase.,shipping
38,The customer service is very easy to use and has made my life much easier.,customer service
39,The customer service is of poor quality. I would not recommend it.,customer service
40,The customer service is everything I wanted and more. I am very satisfied with my purchase.,customer service
41,The price is everything I wanted and more. I am very satisfied with my purchase.,price
42,The product is very easy to use and has made my life much easier.,product
43,I am impressed with the customer service. It has exceeded my expectations.,customer service
44,I am extremely happy with the shipping. It has been a great investment.,shipping
45,I had a terrible experience with the shipping. The shipping did not work as advertised.,shipping
46,The price is not what I was looking for. I am very disappointed with my purchase.,price
47,The shipping is very difficult to use and has caused me a lot of frustration.,shipping
48,The product is not what I was looking for. I am very disappointed with my purchase.,product
49,I am very unimpressed with the customer service. It is not worth the price.,customer service
50,I am very satisfied with the price. The price is exactly what I was looking for.,price
51,The customer service is overpriced for the quality. I would not buy it again.,customer service
52,I had a terrible experience with the price. The price did not work as advertised.,price
53,The shipping has exceeded my expectations. I would recommend it to anyone.,shipping
54,I am impressed with the product. It has exceeded my expectations.,product
55,The shipping is of poor quality. I would not recommend it.,shipping
56,I am very unimpressed with the price. It is not worth the price.,price
57,The price is everything I wanted and more. I am very satisfied with my purchase.,price
58,The customer service is not what I was looking for. I am very disappointed with my purchase.,customer service
59,I had a terrible experience with the price. The price did not work as advertised.,price
60,I am very impressed with the product. It is a great product at a great price.,product
61,I am very unimpressed with the customer service. It is not worth the price.,customer service
62,I am very disappointed with the shipping. The shipping did not meet my expectations.,shipping
63,I am extremely unhappy with the price. It was a waste of money.,price
64,The shipping is an excellent value for the price. I would buy it again.,shipping
65,I would give the price five stars. It has been a pleasure to use.,price
66,The shipping is everything I wanted and more. I am very satisfied with my purchase.,shipping
67,I am very impressed with the customer service. It is a great product at a great price.,customer service
68,I am very disappointed with the shipping. The shipping did not meet my expectations.,shipping
69,I am extremely unhappy with the shipping. It was a waste of money.,shipping
70,I am very unimpressed with the price. It is not worth the price.,price
71,The shipping is an excellent value for the price. I would buy it again.,shipping
72,The shipping is very difficult to use and has caused me a lot of frustration.,shipping
73,The shipping is not what I was looking for. I am very disappointed with my purchase.,shipping
74,The product is very difficult to use and has caused me a lot of frustration.,product
75,I am impressed with the price. It has exceeded my expectations.,price
76,I am very satisfied with the price. The price is exactly what I was looking for.,price
77,I am extremely happy with the shipping. It has been a great investment.,shipping
78,I would give the customer service one star. It was a terrible product.,customer service
79,The price is overpriced for the quality. I would not buy it again.,price
80,I would give the customer service one star. It was a terrible product.,customer service
81,The customer service is very easy to use and has made my life much easier.,customer service
82,I am very unimpressed with the shipping. It is not worth the price.,shipping
83,The customer service is an excellent value for the price. I would buy it again.,customer service
84,I am very impressed with the shipping. It is a great product at a great price.,shipping
85,I am impressed with the customer service. It has exceeded my expectations.,customer service
86,I am extremely happy with the customer service. It has been a great investment.,customer service
87,The shipping did not live up to my expectations. I would not recommend it to anyone.,shipping
88,The product is very difficult to use and has caused me a lot of frustration.,product
89,The product is of very high quality. I would definitely recommend it.,product
90,The price is very easy to use and has made my life much easier.,price
91,I am very satisfied with the product. The product is exactly what I was looking for.,product
92,I had a terrible experience with the customer service. The customer service did not work as advertised.,customer service
93,I am very satisfied with the customer service. The customer service is exactly what I was looking for.,customer service
94,I would give the customer service five stars. It has been a pleasure to use.,customer service
95,I am impressed with the customer service. It has exceeded my expectations.,customer service
96,The price is an excellent value for the price. I would buy it again.,price
97,The shipping has exceeded my expectations. I would recommend it to anyone.,shipping
98,I am very impressed with the shipping. It is a great product at a great price.,shipping
99,The product did not live up to my expectations. I would not recommend it to anyone.,product
100,The price did not live up to my expectations. I would not recommend it to anyone.,price
101,The customer service did not live up to my expectations. I would not recommend it to anyone.,customer service
102,The product is overpriced for the quality. I would not buy it again.,product
103,The customer service is of very high quality. I would definitely recommend it.,customer service
104,I had a terrible experience with the customer service. The customer service did not work as advertised.,customer service
105,The customer service is of very high quality. I would definitely recommend it.,customer service
106,The shipping did not live up to my expectations. I would not recommend it to anyone.,shipping
107,The price is of very high quality. I would definitely recommend it.,price
108,I am extremely happy with the product. It has been a great investment.,product
109,I am impressed with the customer service. It has exceeded my expectations.,customer service
110,I am very disappointed with the product. The product did not meet my expectations.,product
111,The product is of poor quality. I would not recommend it.,product
112,I am very impressed with the price. It is a great product at a great price.,price
113,The price is of very high quality. I would definitely recommend it.,price
114,I am very impressed with the shipping. It is a great product at a great price.,shipping
115,I would give the customer service five stars. It has been a pleasure to use.,customer service
116,The product is an excellent value for the price. I would buy it again.,product
117,I am extremely unhappy with the product. It was a waste of money.,product
118,I am extremely unhappy with the shipping. It was a waste of money.,shipping
119,I am impressed with the customer service. It has exceeded my expectations.,customer service
120,I had a terrible experience with the shipping. The shipping did not work as advertised.,shipping
121,The price has exceeded my expectations. I would recommend it to anyone.,price
122,The price is of poor quality. I would not recommend it.,price
123,I am very impressed with the product. It is a great product at a great price.,product
124,I am very unimpressed with the shipping. It is not worth the price.,shipping
125,The shipping is everything I wanted and more. I am very satisfied with my purchase.,shipping
126,The product is an excellent value for the price. I would buy it again.,product
127,I would give the product one star. It was a terrible product.,product
128,The shipping is of very high quality. I would definitely recommend it.,shipping
129,The product is an excellent value for the price. I would buy it again.,product
130,I am very impressed with the shipping. It is a great product at a great price.,shipping
131,I would give the customer service one star. It was a terrible product.,customer service
132,The product is of poor quality. I would not recommend it.,product
133,I am very impressed with the product. It is a great product at a great price.,product
134,The price is not what I was looking for. I am very disappointed with my purchase.,price
135,I would give the product one star. It was a terrible product.,product
136,The customer service is an excellent value for the price. I would buy it again.,customer service
137,The product is overpriced for the quality. I would not buy it again.,product
138,The product did not live up to my expectations. I would not recommend it to anyone.,product
139,I am impressed with the price. It has exceeded my expectations.,price
140,The price is of poor quality. I would not recommend it.,price
141,I am very unimpressed with the customer service. It is not worth the price.,customer service
142,I am extremely happy with the customer service. It has been a great investment.,customer service
143,I had a terrible experience with the product. The product did not work as advertised.,product
144,I am very unimpressed with the shipping. It is not worth the price.,shipping
145,The product is of very high quality. I would definitely recommend it.,product
146,The product is everything I wanted and more. I am very satisfied with my purchase.,product
